,Unnamed: 0,Website,Connection Establishment Time,RTT,Initial Response,Latency,Page Load Time,Dependency Load Time,Page Size,IP,City,Country,WASM RTT,WASM Durations,WASM Sizes,Website Type
667,709,wiktionary.org,142.164945602417,37.7519130706787,106.0,18.8759565353394,496.0,489.0,61262.0,37.46.117.185,Sofia,Bulgaria,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,Other
669,711,yahoo.com,428.443431854248,38.1109714508057,115.0,19.0554857254028,1954.0,1848.0,44636.0,37.46.117.185,Sofia,Bulgaria,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,Other
673,715,microsoft.com,434.968233108521,39.2799377441406,0.0,19.6399688720703,38.0,31.0,3448.0,37.46.117.185,Sofia,Bulgaria,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,Other
674,716,walmart.com,127.702713012695,38.2339954376221,113.0,19.116997718811,11196.0,314.0,183023.0,37.46.117.185,Sofia,Bulgaria,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,E-commerce Platforms
679,721,craigslist.org,487.495422363281,59.5645904541016,157.0,29.7822952270508,2521.0,1410.0,51313.0,37.46.117.185,Sofia,Bulgaria,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,Other
689,731,bbc.com,131.740570068359,40.1148796081543,66.0,20.0574398040771,3531.0,1665.0,216763.0,37.46.117.185,Sofia,Bulgaria,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,News Websites
706,749,nordstrom.com,134.519815444946,38.6388301849365,203.0,19.3194150924683,605.0,604.0,214427.0,37.46.117.185,Sofia,Bulgaria,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,E-commerce Platforms
715,758,ssyoutube.com,82.62038230896,38.1884574890137,120.0,19.0942287445068,1503.0,805.0,30024.0,37.46.117.185,Sofia,Bulgaria,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,Other
725,769,xe.com,87.0218276977539,41.8405532836914,45.0,20.9202766418457,1813.0,1215.0,457323.0,37.46.117.185,Sofia,Bulgaria,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,Other
728,773,goodhousekeeping.com,135.795593261719,37.7180576324463,69.0,18.8590288162231,1090.0,619.0,421090.0,37.46.117.185,Sofia,Bulgaria,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,Other
734,779,github.com,127.870798110962,37.5394821166992,70.0,18.7697410583496,1184.0,1051.0,234553.0,37.46.117.185,Sofia,Bulgaria,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,Other
752,800,google.com,237.912178039551,105.587005615234,215.0,52.7935028076172,3599.0,2307.0,145321.0,185.199.101.113,Montréal,Canada,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,Other
756,804,apple.com,266.985177993774,105.767726898193,254.0,52.8838634490967,3687.0,1464.0,255296.0,185.199.101.113,Montréal,Canada,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,Other
767,815,microsoft.com,273.189067840576,105.644226074219,0.0,52.8221130371094,34.0,27.0,3448.0,185.199.101.113,Montréal,Canada,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,Other
773,821,craigslist.org,381.065130233765,106.290102005005,127.0,53.1450510025024,2049.0,1132.0,58562.0,185.199.101.113,Montréal,Canada,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,Other
790,838,spotify.com,221.71425819397,105.982780456543,176.0,52.9913902282715,4926.0,2217.0,79838.0,185.199.101.113,Montréal,Canada,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,Entertainment Websites
795,844,nih.gov,375.144720077515,106.843709945679,341.0,53.4218549728394,3225.0,1879.0,80333.0,185.199.101.113,Montréal,Canada,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,Health and Medical Websites
800,849,nordstrom.com,233.867168426514,107.597589492798,174.0,53.7987947463989,996.0,996.0,208605.0,185.199.101.113,Montréal,Canada,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,E-commerce Platforms
804,853,roblox.com,247.31183052063,105.658054351807,203.0,52.8290271759033,3744.0,3313.0,96955.0,185.199.101.113,Montréal,Canada,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,Gaming Websites
813,862,mcdonalds.com,244.488716125488,106.722354888916,143.0,53.361177444458,8964.0,2121.0,305925.0,185.199.101.113,Montréal,Canada,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,Other
